Date,ES,VaR
2016-07-18,1149.83081055,1140.86413461
2016-07-15,1213.32056965,1171.39757896
2016-07-14,1207.19770977,1217.06959359
2016-07-13,1189.89085793,1185.70485422
2016-07-12,1211.23056689,1228.80066677
2016-07-11,1213.1110967,1203.51124263
2016-07-08,1207.28588732,1215.79955601
2016-07-07,1170.49107423,1167.3971471
2016-07-06,1207.53358565,1190.19994882
2016-07-05,1073.00677327,1070.80713033
2016-07-01,1185.19984236,1147.79710711
2016-06-30,1177.84278451,1175.35498012
2016-06-29,1173.59636267,1169.26971605
2016-06-28,1169.68839638,1172.37575958
2016-06-27,1178.72086399,1153.25742998
2016-06-24,1166.72590889,1163.48870584
2016-06-23,1160.82898477,1170.26585347
2016-06-22,1149.20109214,1131.58974699
2016-06-21,1123.32748415,1094.26023357
2016-06-20,1092.68940131,1057.89124734
2016-06-17,1124.18526727,1101.87217434
2016-06-16,1159.61959914,1156.24137182
2016-06-15,1128.63661717,1101.15706542
2016-06-14,1200.56687587,1192.05389605
2016-06-13,1204.54512526,1198.7830635
2016-06-10,1151.53790457,1125.99626122
2016-06-09,1128.01856939,1101.93003321
2016-06-08,1138.60752815,1144.61593146
2016-06-07,1172.42701013,1136.32754878
2016-06-06,1111.89004695,1094.99163878
2016-06-03,1119.54628917,1116.78393162
2016-06-02,1182.7717871,1195.5570775
2016-06-01,1200.17594913,1217.73664936
2016-05-31,1174.22578377,1153.79851439
2016-05-27,1177.76113573,1180.34892401
2016-05-26,1165.12239938,1185.02310121
2016-05-25,1174.08866146,1184.08504357
2016-05-24,1152.75531115,1123.97112372
2016-05-23,1130.34774438,1123.51259258
2016-05-20,1166.07251657,1168.34914283
2016-05-19,1204.18752229,1181.18271797
2016-05-18,1197.22082288,1208.11038527
2016-05-17,1186.91819374,1200.76999647
2016-05-16,1154.40159955,1135.77369253
2016-05-13,1172.83063533,1197.20776779
2016-05-12,1172.05631742,1178.76614762
2016-05-11,1172.5634539,1148.99516845
2016-05-10,1184.31204532,1177.03045799
2016-05-09,1194.29437545,1185.72500497
