Date,ES,VaR
2015-10-15,1423.00315941,1418.78536375
2015-10-14,1418.25048486,1414.03505662
2015-10-13,1423.49607979,1419.28478036
2015-10-12,1424.73537351,1420.52551266
2015-10-09,1423.89515391,1419.68342598
2015-10-08,1434.06140614,1429.81899222
2015-10-07,1434.44749776,1430.19914768
2015-10-06,1434.72526867,1430.47679566
2015-10-05,1436.36440939,1432.1167062
2015-10-02,1436.28179933,1432.03376153
2015-10-01,1437.47825841,1433.23155459
2015-09-30,1442.68295843,1438.43524886
2015-09-29,1442.22390958,1437.97536246
2015-09-28,1438.97684492,1434.7289533
2015-09-25,1437.94492815,1433.69579603
2015-09-24,1436.53417503,1432.28477051
2015-09-23,1441.22459157,1436.9553517
2015-09-22,1444.49270036,1440.22795343
2015-09-21,1442.03314146,1437.76711521
2015-09-18,1441.5387897,1437.27235011
2015-09-17,1438.21759742,1433.95006971
2015-09-16,1437.01059237,1432.7427873
2015-09-15,1437.49779664,1433.23504475
2015-09-14,1438.90620914,1434.64406259
2015-09-11,1439.36980299,1435.10862028
2015-09-10,1442.63187349,1438.37490067
2015-09-09,1442.56909818,1438.31110968
2015-09-08,1440.34505049,1436.08689834
2015-09-04,1440.63330598,1436.37512125
2015-09-03,1442.16607517,1437.90797406
2015-09-02,1440.00864755,1435.7492521
2015-09-01,1438.26031449,1434.00102283
2015-08-31,1437.40032539,1433.14122844
2015-08-28,1437.67824124,1433.4194423
2015-08-27,1436.25779301,1431.99608086
2015-08-26,1435.19215438,1430.92728756
2015-08-25,1437.2069934,1432.94190763
2015-08-24,1435.63837622,1431.3720785
2015-08-21,1436.6885813,1432.42284925
2015-08-20,1436.98807935,1432.72255999
2015-08-19,1435.16942357,1430.90155201
2015-08-18,1437.35842641,1433.09183221
2015-08-17,1438.95147005,1434.68462188
2015-08-14,1439.88076851,1435.61436045
2015-08-13,1439.83139454,1435.56496942
2015-08-12,1443.77399091,1439.51089041
2015-08-11,1444.51717313,1440.25410273
2015-08-10,1443.52077172,1439.25726288
2015-08-07,1437.54429119,1433.28326749
2015-08-06,1439.33248697,1435.07031819
2015-08-05,1438.61788282,1434.35467512
2015-08-04,1440.99831395,1436.73627889
2015-08-03,1441.339168,1437.0772137
2015-07-31,1440.59941125,1436.33562326
2015-07-30,1441.66505851,1437.40428174
2015-07-29,1430.86022312,1426.60309376
2015-07-28,1427.95251074,1423.6954223
2015-07-27,1429.35613826,1425.10148276
